crop_name,crop_type,growth_stage,stage_duration,disease,pest,soil_type,climate,season,fertilizer
Rau dền,LeafyVegetable,Nảy mầm,4,Bệnh đốm lá,Sâu khoang,Đất phù sa,Nóng ẩm,Hè Thu,Phân đạm
Rau dền,LeafyVegetable,Phát triển thân lá,15,Bệnh đốm lá,Sâu khoang,Đất phù sa,Nóng ẩm,Hè Thu,Phân đạm
Rau dền,LeafyVegetable,Thu hoạch,10,Bệnh đốm lá,Sâu khoang,Đất phù sa,Nóng ẩm,Hè Thu,Phân đạm
Rau mồng tơi,LeafyVegetable,Nảy mầm,5,Bệnh đốm mắt cua,Sâu khoang,Đất phù sa,Nóng ẩm,Hè Thu,Phân đạm
Rau mồng tơi,LeafyVegetable,Bò leo,20,Bệnh đốm lá,Sâu ăn lá,Đất phù sa,Nóng ẩm,Hè Thu,Phân đạm
Rau mồng tơi,LeafyVegetable,Thu hoạch,30,Bệnh đốm mắt cua,Sâu khoang,Đất phù sa,Nóng ẩm,Hè Thu,Phân đạm
Thì là,LeafyVegetable,Nảy mầm,7,Bệnh thối rễ,Rệp muội,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân NPK
Thì là,LeafyVegetable,Phát triển lá,20,Bệnh thối gốc,Rệp muội,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân đạm
Thì là,LeafyVegetable,Thu hoạch,15,Bệnh thối rễ,Rệp muội,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân đạm
Cà bát,FruitVegetable,Nảy mầm,8,Bệnh héo xanh,Sâu đục quả,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân Hữu cơ
Cà bát,FruitVegetable,Phát triển tán,25,Bệnh đốm lá,Rệp muội,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân NPK
Cà bát,FruitVegetable,Ra hoa,20,Bệnh héo xanh,Bọ trĩ,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân NPK
Cà bát,FruitVegetable,Thu hoạch,35,Bệnh thối quả,Sâu đục quả,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân Kali
Củ cải trắng,RootVegetable,Nảy mầm,5,Bệnh thối nhũn,Bọ nhảy,Đất cát pha,Mát mẻ,Đông Xuân,Phân Hữu cơ
Củ cải trắng,RootVegetable,Phát triển củ,30,Bệnh cháy lá,Bọ nhảy,Đất cát pha,Mát mẻ,Đông Xuân,Phân NPK
Củ cải trắng,RootVegetable,Thu hoạch,15,Bệnh thối củ,Tuyến trùng,Đất cát pha,Mát mẻ,Đông Xuân,Phân Kali
Rau xà lách,LeafyVegetable,Nảy mầm,5,Bệnh thối bẹ,Sâu ăn lá,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Hữu cơ
Rau xà lách,LeafyVegetable,Phát triển tán lá,20,Bệnh cháy đầu lá,Rệp muội,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân đạm
Rau xà lách,LeafyVegetable,Thu hoạch,10,Bệnh thối bẹ,Rệp muội,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân đạm
Củ dền,RootVegetable,Nảy mầm,7,Bệnh đốm lá,Tuyến trùng,Đất cát pha,Mát mẻ,Đông Xuân,Phân Hữu cơ
Củ dền,RootVegetable,Phát triển củ,35,Bệnh thối rễ,Rệp muội,Đất cát pha,Mát mẻ,Đông Xuân,Phân NPK
Củ dền,RootVegetable,Thu hoạch,15,Bệnh đốm lá,Tuyến trùng,Đất cát pha,Mát mẻ,Đông Xuân,Phân Kali
Măng tây,StemVegetable,Nảy mầm,15,Bệnh thán thư,Bọ trĩ,Đất cát pha,Ấm áp,Quanh năm,Phân Hữu cơ
Măng tây,StemVegetable,Mọc măng,40,Bệnh héo rũ,Bọ trĩ,Đất cát pha,Ấm áp,Quanh năm,Phân NPK
Măng tây,StemVegetable,Thu hoạch,60,Bệnh thán thư,Sâu khoang,Đất cát pha,Ấm áp,Quanh năm,Phân Kali
Rau ngót,LeafyVegetable,Nảy mầm,15,Bệnh đốm lá,Nhện đỏ,Đất thịt nhẹ,Ấm áp,Quanh năm,Phân Hữu cơ
Rau ngót,LeafyVegetable,Phát triển cành lá,30,Bệnh xoăn lá,Rệp muội,Đất thịt nhẹ,Ấm áp,Quanh năm,Phân đạm
Rau ngót,LeafyVegetable,Thu hoạch,45,Bệnh đốm lá,Nhện đỏ,Đất thịt nhẹ,Ấm áp,Quanh năm,Phân đạm
Hành lá,LeafyVegetable,Nảy mầm,7,Bệnh sương mai,Sâu hành,Đất tơi xốp,Mát mẻ,Quanh năm,Phân Hữu cơ
Hành lá,LeafyVegetable,Đẻ nhánh,25,Bệnh cháy đầu lá,Bọ trĩ,Đất tơi xốp,Mát mẻ,Quanh năm,Phân đạm
Hành lá,LeafyVegetable,Thu hoạch,15,Bệnh sương mai,Sâu hành,Đất tơi xốp,Mát mẻ,Quanh năm,Phân đạm
Hẹ,LeafyVegetable,Nảy mầm,8,Bệnh gỉ sắt,Bọ trĩ,Đất tơi xốp,Ấm áp,Quanh năm,Phân Hữu cơ
Hẹ,LeafyVegetable,Phát triển bẹ,30,Bệnh thối rễ,Sâu ăn lá,Đất tơi xốp,Ấm áp,Quanh năm,Phân đạm
Hẹ,LeafyVegetable,Thu hoạch,20,Bệnh gỉ sắt,Bọ trĩ,Đất tơi xốp,Ấm áp,Quanh năm,Phân đạm
Cần tây,LeafyVegetable,Nảy mầm,10,Bệnh cháy lá,Rệp muội,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Hữu cơ
Cần tây,LeafyVegetable,Phát triển thân lá,40,Bệnh thối thâm,Sâu khoang,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân NPK
Cần tây,LeafyVegetable,Thu hoạch,20,Bệnh cháy lá,Rệp muội,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân đạm
Su hào,RootVegetable,Nảy mầm,7,Bệnh thối nhũn,Bọ nhảy,Đất thịt nhẹ,Mát mẻ,Đông Xuân,Phân Hữu cơ
Su hào,RootVegetable,Phát triển củ,35,Bệnh sương mai,Sâu tơ,Đất thịt nhẹ,Mát mẻ,Đông Xuân,Phân NPK
Su hào,RootVegetable,Thu hoạch,15,Bệnh thối nhũn,Bọ nhảy,Đất thịt nhẹ,Mát mẻ,Đông Xuân,Phân Kali
Đậu Hà Lan,FruitVegetable,Nảy mầm,8,Bệnh phấn trắng,Sâu đục quả,Đất cát pha,Mát mẻ,Đông Xuân,Phân Hữu cơ
Đậu Hà Lan,FruitVegetable,Ra hoa,20,Bệnh phấn trắng,Rệp muội,Đất cát pha,Mát mẻ,Đông Xuân,Phân NPK
Đậu Hà Lan,FruitVegetable,Thu hoạch,25,Bệnh thán thư,Sâu đục quả,Đất cát pha,Mát mẻ,Đông Xuân,Phân Kali
Bí xanh,FruitVegetable,Nảy mầm,7,Bệnh sương mai,Bọ trĩ,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân Hữu cơ
Bí xanh,FruitVegetable,Leo giàn,30,Bệnh phấn trắng,Sâu ăn lá,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân NPK
Bí xanh,FruitVegetable,Thu hoạch,40,Bệnh thối quả,Ruồi đục quả,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân Kali
Măng sặt,StemVegetable,Mọc mầm,20,Bệnh thối măng,Bọ xít,Đất đồi núi,Mát mẻ,Xuân Hè,Phân Hữu cơ
Măng sặt,StemVegetable,Thu hoạch,30,Bệnh thối măng,Sâu vòi xịt,Đất đồi núi,Mát mẻ,Xuân Hè,Phân NPK
Đậu đũa,FruitVegetable,Nảy mầm,6,Bệnh thán thư,Rệp muội,Đất cát pha,Ấm áp,Xuân Hè,Phân Hữu cơ
Đậu đũa,FruitVegetable,Bò giàn,20,Bệnh gỉ sắt,Sâu đục quả,Đất cát pha,Ấm áp,Xuân Hè,Phân NPK
Đậu đũa,FruitVegetable,Ra hoa,15,Bệnh thán thư,Bọ trĩ,Đất cát pha,Ấm áp,Xuân Hè,Phân NPK
Đậu đũa,FruitVegetable,Thu hoạch,30,Bệnh gỉ sắt,Sâu đục quả,Đất cát pha,Ấm áp,Xuân Hè,Phân Kali
Cà pháo,FruitVegetable,Nảy mầm,8,Bệnh héo xanh,Sâu đục quả,Đất thịt nhẹ,Ấm áp,Quanh năm,Phân Hữu cơ
Cà pháo,FruitVegetable,Phát triển tán,25,Bệnh đốm lá,Rệp muội,Đất thịt nhẹ,Ấm áp,Quanh năm,Phân NPK
Cà pháo,FruitVegetable,Thu hoạch,40,Bệnh thối quả,Sâu đục quả,Đất thịt nhẹ,Ấm áp,Quanh năm,Phân Kali
Khổ qua rừng,FruitVegetable,Nảy mầm,6,Bệnh sương mai,Bọ trĩ,Đất tơi xốp,Ấm áp,Xuân Hè,Phân Hữu cơ
Khổ qua rừng,FruitVegetable,Leo giàn,20,Bệnh héo rũ,Sâu ăn lá,Đất tơi xốp,Ấm áp,Xuân Hè,Phân NPK
Khổ qua rừng,FruitVegetable,Thu hoạch,30,Bệnh thán thư,Ruồi đục quả,Đất tơi xốp,Ấm áp,Xuân Hè,Phân Kali
Súp lơ xanh,LeafyVegetable,Nảy mầm,8,Bệnh thối nhũn,Sâu tơ,Đất thịt nhẹ,Ôn hòa,Đông Xuân,Phân Hữu cơ
Súp lơ xanh,LeafyVegetable,Phát triển lá,30,Bệnh sương mai,Sâu xanh,Đất thịt nhẹ,Ôn hòa,Đông Xuân,Phân đạm
Súp lơ xanh,LeafyVegetable,Hình thành hoa,25,Bệnh thối hoa,Bọ nhảy,Đất thịt nhẹ,Ôn hòa,Đông Xuân,Phân NPK
Súp lơ xanh,LeafyVegetable,Thu hoạch,15,Bệnh thối nhũn,Sâu tơ,Đất thịt nhẹ,Ôn hòa,Đông Xuân,Phân Kali
Súp lơ trắng,LeafyVegetable,Nảy mầm,8,Bệnh thối nhũn,Sâu tơ,Đất thịt nhẹ,Ôn hòa,Đông Xuân,Phân Hữu cơ
Súp lơ trắng,LeafyVegetable,Hình thành hoa,25,Bệnh thối hoa,Sâu xanh,Đất thịt nhẹ,Ôn hòa,Đông Xuân,Phân NPK
Súp lơ trắng,LeafyVegetable,Thu hoạch,15,Bệnh thối nhũn,Sâu tơ,Đất thịt nhẹ,Ôn hòa,Đông Xuân,Phân Kali
Cải củ đỏ,RootVegetable,Nảy mầm,5,Bệnh thối rễ,Bọ nhảy,Đất cát pha,Mát mẻ,Đông Xuân,Phân Hữu cơ
Cải củ đỏ,RootVegetable,Phát triển củ,20,Bệnh đốm lá,Tuyến trùng,Đất cát pha,Mát mẻ,Đông Xuân,Phân NPK
Cải củ đỏ,RootVegetable,Thu hoạch,10,Bệnh thối củ,Bọ nhảy,Đất cát pha,Mát mẻ,Đông Xuân,Phân Kali
Rau bồ ngót,LeafyVegetable,Mọc mầm,12,Bệnh đốm lá,Nhện đỏ,Đất thịt nhẹ,Ấm áp,Quanh năm,Phân Hữu cơ
Rau bồ ngót,LeafyVegetable,Thu hoạch,40,Bệnh xoăn lá,Rệp muội,Đất thịt nhẹ,Ấm áp,Quanh năm,Phân đạm
Cải bẹ xanh,LeafyVegetable,Nảy mầm,4,Bệnh thối nhũn,Bọ nhảy,Đất phù sa,Mát mẻ,Đông Xuân,Phân Hữu cơ
Cải bẹ xanh,LeafyVegetable,Phát triển lá,20,Bệnh sương mai,Sâu tơ,Đất phù sa,Mát mẻ,Đông Xuân,Phân đạm
Cải bẹ xanh,LeafyVegetable,Thu hoạch,10,Bệnh thối nhũn,Bọ nhảy,Đất phù sa,Mát mẻ,Đông Xuân,Phân đạm
Cải thìa,LeafyVegetable,Nảy mầm,4,Bệnh thối bẹ,Sâu xanh,Đất phù sa,Mát mẻ,Đông Xuân,Phân Hữu cơ
Cải thìa,LeafyVegetable,Phát triển thân lá,18,Bệnh sương mai,Bọ nhảy,Đất phù sa,Mát mẻ,Đông Xuân,Phân đạm
Cải thìa,LeafyVegetable,Thu hoạch,10,Bệnh thối bẹ,Sâu xanh,Đất phù sa,Mát mẻ,Đông Xuân,Phân đạm
Cải ngọt,LeafyVegetable,Nảy mầm,4,Bệnh thối nhũn,Sâu tơ,Đất phù sa,Mát mẻ,Đông Xuân,Phân Hữu cơ
Cải ngọt,LeafyVegetable,Phát triển lá,18,Bệnh gỉ trắng,Bọ nhảy,Đất phù sa,Mát mẻ,Đông Xuân,Phân đạm
Cải ngọt,LeafyVegetable,Thu hoạch,10,Bệnh thối nhũn,Sâu tơ,Đất phù sa,Mát mẻ,Đông Xuân,Phân đạm
Cải cúc tía,LeafyVegetable,Nảy mầm,5,Bệnh thối bẹ,Sâu đo,Đất phù sa,Mát mẻ,Đông Xuân,Phân đạm
Cải cúc tía,LeafyVegetable,Thu hoạch,20,Bệnh sương mai,Sâu xanh,Đất phù sa,Mát mẻ,Đông Xuân,Phân đạm
Hành tây tím,RootVegetable,Nảy mầm,12,Bệnh sương mai,Bọ trĩ,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Hữu cơ
Hành tây tím,RootVegetable,Phát triển củ,40,Bệnh cháy đầu lá,Sâu ăn lá,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Kali
Hành tây tím,RootVegetable,Thu hoạch,15,Bệnh thối củ,Bọ trĩ,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Kali
Tỏi,RootVegetable,Nảy mầm,10,Bệnh sương mai,Bọ trĩ,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Hữu cơ
Tỏi,RootVegetable,Phát triển củ,60,Bệnh gỉ sắt,Sâu gặm củ,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Kali
Tỏi,RootVegetable,Thu hoạch,20,Bệnh thối củ,Bọ trĩ,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Kali
Hành củ,RootVegetable,Nảy mầm,8,Bệnh sương mai,Sâu hành,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Hữu cơ
Hành củ,RootVegetable,Phát triển củ,35,Bệnh cháy đầu lá,Bọ trĩ,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Kali
Hành củ,RootVegetable,Thu hoạch,15,Bệnh thối củ,Sâu hành,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Kali
Củ nần,RootVegetable,Nảy mầm,15,Bệnh thối củ,Tuyến trùng,Đất đồi núi,Ấm áp,Xuân Hè,Phân Hữu cơ
Củ nần,RootVegetable,Thu hoạch,90,Bệnh đốm lá,Rệp sáp,Đất đồi núi,Ấm áp,Xuân Hè,Phân Kali
Củ sắn,RootVegetable,Nảy mầm,15,Bệnh khảm lá,Rệp sáp,Đất cát pha,Nóng ẩm,Xuân Hè,Phân Hữu cơ
Củ sắn,RootVegetable,Phát triển củ,120,Bệnh thối rễ,Tuyến trùng,Đất cát pha,Nóng ẩm,Xuân Hè,Phân Kali
Củ sắn,RootVegetable,Thu hoạch,30,Bệnh thối củ,Rệp sáp,Đất cát pha,Nóng ẩm,Xuân Hè,Phân Kali
Khoai lang,RootVegetable,Nảy mầm,10,Bệnh héo rũ,Bọ hà,Đất cát pha,Ấm áp,Hè Thu,Phân Hữu cơ
Khoai lang,RootVegetable,Phát triển thân lá,30,Bệnh đốm lá,Sâu ăn lá,Đất cát pha,Ấm áp,Hè Thu,Phân NPK
Khoai lang,RootVegetable,Phát triển củ,50,Bệnh thối củ,Bọ hà,Đất cát pha,Ấm áp,Hè Thu,Phân Kali
Khoai lang,RootVegetable,Thu hoạch,20,Bệnh thối củ,Bọ hà,Đất cát pha,Ấm áp,Hè Thu,Phân Kali
Khoai môn,RootVegetable,Nảy mầm,15,Bệnh sương mai,Nhện đỏ,Đất trũng,Nóng ẩm,Xuân Hè,Phân Hữu cơ
Khoai môn,RootVegetable,Phát triển củ,90,Bệnh thối củ,Bọ trĩ,Đất trũng,Nóng ẩm,Xuân Hè,Phân Kali
Khoai môn,RootVegetable,Thu hoạch,30,Bệnh thối củ,Tuyến trùng,Đất trũng,Nóng ẩm,Xuân Hè,Phân Kali
Khoai sọ,RootVegetable,Nảy mầm,15,Bệnh sương mai,Rệp muội,Đất phù sa,Nóng ẩm,Xuân Hè,Phân Hữu cơ
Khoai sọ,RootVegetable,Phát triển củ,80,Bệnh thối củ,Sâu ăn lá,Đất phù sa,Nóng ẩm,Xuân Hè,Phân Kali
Khoai sọ,RootVegetable,Thu hoạch,25,Bệnh thối củ,Tuyến trùng,Đất phù sa,Nóng ẩm,Xuân Hè,Phân Kali
Đậu rồng,FruitVegetable,Nảy mầm,7,Bệnh thán thư,Sâu đục quả,Đất cát pha,Ấm áp,Xuân Hè,Phân Hữu cơ
Đậu rồng,FruitVegetable,Leo giàn,25,Bệnh gỉ sắt,Rệp muội,Đất cát pha,Ấm áp,Xuân Hè,Phân NPK
Đậu rồng,FruitVegetable,Thu hoạch,40,Bệnh thán thư,Sâu đục quả,Đất cát pha,Ấm áp,Xuân Hè,Phân Kali
Đậu bắp,FruitVegetable,Nảy mầm,5,Bệnh héo xanh,Bọ trĩ,Đất thịt nhẹ,Nóng ẩm,Hè Thu,Phân Hữu cơ
Đậu bắp,FruitVegetable,Phát triển thân,20,Bệnh đốm lá,Rệp muội,Đất thịt nhẹ,Nóng ẩm,Hè Thu,Phân NPK
Đậu bắp,FruitVegetable,Thu hoạch,45,Bệnh thán thư,Sâu đục quả,Đất thịt nhẹ,Nóng ẩm,Hè Thu,Phân Kali
Bầu,FruitVegetable,Nảy mầm,6,Bệnh sương mai,Bọ trĩ,Đất phù sa,Ấm áp,Xuân Hè,Phân Hữu cơ
Bầu,FruitVegetable,Bò giàn,25,Bệnh phấn trắng,Sâu ăn lá,Đất phù sa,Ấm áp,Xuân Hè,Phân NPK
Bầu,FruitVegetable,Thu hoạch,35,Bệnh thối quả,Ruồi đục quả,Đất phù sa,Ấm áp,Xuân Hè,Phân Kali
Bí đao,FruitVegetable,Nảy mầm,7,Bệnh sương mai,Bọ trĩ,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân Hữu cơ
Bí đao,FruitVegetable,Leo giàn,30,Bệnh phấn trắng,Sâu ăn lá,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân NPK
Bí đao,FruitVegetable,Thu hoạch,40,Bệnh thối quả,Ruồi đục quả,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân Kali
Mướp hương,FruitVegetable,Nảy mầm,6,Bệnh sương mai,Bọ trĩ,Đất phù sa,Nóng ẩm,Xuân Hè,Phân Hữu cơ
Mướp hương,FruitVegetable,Leo giàn,20,Bệnh héo rũ,Sâu ăn lá,Đất phù sa,Nóng ẩm,Xuân Hè,Phân NPK
Mướp hương,FruitVegetable,Thu hoạch,30,Bệnh thán thư,Ruồi đục quả,Đất phù sa,Nóng ẩm,Xuân Hè,Phân Kali
Mướp khía,FruitVegetable,Nảy mầm,6,Bệnh sương mai,Bọ trĩ,Đất phù sa,Nóng ẩm,Xuân Hè,Phân Hữu cơ
Mướp khía,FruitVegetable,Thu hoạch,30,Bệnh thán thư,Ruồi đục quả,Đất phù sa,Nóng ẩm,Xuân Hè,Phân Kali
Cà bung,FruitVegetable,Nảy mầm,8,Bệnh héo xanh,Sâu đục quả,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân Hữu cơ
Cà bung,FruitVegetable,Thu hoạch,35,Bệnh thối quả,Rệp muội,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân Kali
Cà dĩa,FruitVegetable,Nảy mầm,8,Bệnh héo xanh,Sâu đục quả,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân Hữu cơ
